"FBgn","ModID"
"FBgn0027564","cyan"
"FBgn0085212","darkturquoise"
"FBgn0036110","cyan"
"FBgn0038244","tan"
"FBgn0036374","pink"
"FBgn0031412","darkturquoise"
"FBgn0053469","cyan"
"FBgn0052591","blue"
"FBgn0261020","brown"
"FBgn0032222","darkred"
"FBgn0030341","cyan"
"FBgn0004430","turquoise"
"FBgn0029502","cyan"
"FBgn0029722","darkgrey"
"FBgn0266101","royalblue"
"FBgn0037754","red"
"FBgn0040751","lightyellow"
"FBgn0037182","cyan"
"FBgn0039431","darkgrey"
"FBgn0032117","darkgrey"
"FBgn0031715","tan"
"FBgn0035464","salmon"
"FBgn0035468","blue"
"FBgn0033608","cyan"
"FBgn0024889","darkgreen"
"FBgn0025681","darkgrey"
"FBgn0039863","darkgreen"
"FBgn0037972","black"
"FBgn0259735","royalblue"
"FBgn0029903","royalblue"
"FBgn0050340","brown"
"FBgn0027505","greenyellow"
"FBgn0027507","black"
"FBgn0030239","turquoise"
"FBgn0036398","darkgreen"
"FBgn0035026","salmon"
"FBgn0264835","darkgrey"
"FBgn0039946","salmon"
"FBgn0267330","darkred"
"FBgn0264785","pink"
"FBgn0023508","salmon"
"FBgn0266572","pink"
"FBgn0051612","lightcyan"
"FBgn0000464","darkgrey"
"FBgn0028331","pink"
"FBgn0067779","darkgreen"
"FBgn0034436","turquoise"
"FBgn0036702","lightyellow"
"FBgn0039354","darkgrey"
"FBgn0040384","brown"
"FBgn0025865","black"
"FBgn0036118","cyan"
"FBgn0265663","blue"
"FBgn0023535","turquoise"
"FBgn0034643","salmon"
"FBgn0050404","darkgreen"
"FBgn0020620","darkgrey"
"FBgn0033669","cyan"
"FBgn0266869","tan"
"FBgn0032399","black"
"FBgn0032393","darkred"
"FBgn0013720","black"
"FBgn0002022","turquoise"
"FBgn0037955","cyan"
"FBgn0264562","darkgreen"
"FBgn0039623","pink"
"FBgn0027529","darkgrey"
"FBgn0065055","grey"
"FBgn0036152","darkgreen"
"FBgn0015513","turquoise"
"FBgn0026432","pink"
"FBgn0030873","brown"
"FBgn0038402","blue"
"FBgn0263048","darkgreen"
"FBgn0261570","royalblue"
"FBgn0020386","royalblue"
"FBgn0031390","pink"
"FBgn0010825","pink"
"FBgn0085736","turquoise"
"FBgn0051773","blue"
"FBgn0025802","darkgreen"
"FBgn0037728","greenyellow"
"FBgn0266741","turquoise"
"FBgn0266745","grey"
"FBgn0010488","pink"
"FBgn0035428","cyan"
"FBgn0035390","royalblue"
"FBgn0025394","pink"
"FBgn0025640","darkred"
"FBgn0037934","brown"
"FBgn0039357","skyblue"
"FBgn0035911","greenyellow"
"FBgn0011361","cyan"
"FBgn0027095","cyan"
"FBgn0023172","darkgreen"
"FBgn0027514","pink"
"FBgn0021825","lightgreen"
"FBgn0030853","cyan"
"FBgn0030859","turquoise"
"FBgn0033032","darkgreen"
"FBgn0038938","turquoise"
"FBgn0087039","pink"
"FBgn0036980","royalblue"
"FBgn0026620","darkgreen"
"FBgn0039451","tan"
"FBgn0039454","turquoise"
"FBgn0034291","brown"
"FBgn0031660","cyan"
"FBgn0034293","turquoise"
"FBgn0014011","brown"
"FBgn0038972","brown"
"FBgn0050440","black"
"FBgn0036291","pink"
"FBgn0033113","turquoise"
"FBgn0013765","pink"
"FBgn0025628","greenyellow"
"FBgn0039215","tan"
"FBgn0021814","cyan"
"FBgn0027872","black"
"FBgn0000212","lightcyan"
"FBgn0024556","greenyellow"
"FBgn0035953","pink"
"FBgn0051635","blue"
"FBgn0038577","darkturquoise"
"FBgn0264855","salmon"
"FBgn0051989","salmon"
"FBgn0030838","darkgreen"
"FBgn0032748","pink"
"FBgn0266540","black"
"FBgn0001994","royalblue"
"FBgn0024728","darkgreen"
"FBgn0250830","darkgrey"
"FBgn0038488","pink"
"FBgn0036734","darkgrey"
"FBgn0028931","salmon"
"FBgn0262714","royalblue"
"FBgn0000479","darkgreen"
"FBgn0031468","brown"
"FBgn0030330","black"
"FBgn0037106","black"
"FBgn0000611","darkgrey"
"FBgn0033827","turquoise"
"FBgn0031681","pink"
"FBgn0052699","pink"
"FBgn0031150","darkgreen"
"FBgn0263395","darkgrey"
"FBgn0033357","cyan"
"FBgn0011592","steelblue"
"FBgn0038303","royalblue"
"FBgn0038301","salmon"
"FBgn0045063","darkgrey"
"FBgn0030792","black"
"FBgn0265974","darkgreen"
"FBgn0025352","cyan"
"FBgn0035016","darkgrey"
"FBgn0039232","red"
"FBgn0267023","darkgreen"
"FBgn0035689","darkgreen"
"FBgn0038546","tan"
"FBgn0034645","cyan"
"FBgn0267001","blue"
"FBgn0284081","blue"
"FBgn0261111","cyan"
"FBgn0040228","brown"
"FBgn0265451","cyan"
"FBgn0030539","turquoise"
"FBgn0051472","brown"
"FBgn0030815","darkturquoise"
"FBgn0032940","turquoise"
"FBgn0020440","darkgreen"
"FBgn0038418","pink"
"FBgn0033544","blue"
"FBgn0083048","grey"
"FBgn0035237","darkgrey"
"FBgn0036254","black"
"FBgn0036255","darkgrey"
"FBgn0035238","pink"
"FBgn0052649","lightyellow"
"FBgn0260392","cyan"
"FBgn0029067","darkgreen"
"FBgn0037892","lightyellow"
"FBgn0000454","black"
"FBgn0000451","turquoise"
"FBgn0260642","turquoise"
"FBgn0039145","turquoise"
"FBgn0030178","black"
"FBgn0030311","turquoise"
"FBgn0037473","cyan"
"FBgn0038363","red"
"FBgn0037478","lightgreen"
"FBgn0266490","turquoise"
"FBgn0262866","darkgrey"
"FBgn0034871","turquoise"
"FBgn0010313","royalblue"
"FBgn0031816","blue"
"FBgn0086757","darkgrey"
"FBgn0002566","darkgreen"
"FBgn0259824","pink"
"FBgn0053255","red"
"FBgn0020261","tan"
"FBgn0031830","cyan"
"FBgn0034664","turquoise"
"FBgn0040793","cyan"
"FBgn0261353","cyan"
"FBgn0262108","tan"
"FBgn0032922","cyan"
"FBgn0053138","cyan"
"FBgn0013995","darkgrey"
"FBgn0039965","tan"
"FBgn0052666","blue"
"FBgn0064117","cyan"
"FBgn0032200","cyan"
"FBgn0267180","blue"
"FBgn0267988","darkgreen"
"FBgn0265298","black"
"FBgn0263400","turquoise"
"FBgn0038693","blue"
"FBgn0036239","salmon"
"FBgn0085370","darkgreen"
"FBgn0034859","black"
"FBgn0034504","red"
"FBgn0038344","lightcyan"
"FBgn0015781","turquoise"
"FBgn0262114","darkgreen"
"FBgn0010622","lightyellow"
"FBgn0086779","pink"
"FBgn0033050","cyan"
"FBgn0031762","darkgrey"
"FBgn0040009","black"
"FBgn0264324","darkgreen"
"FBgn0037332","salmon"
"FBgn0262740","darkgrey"
"FBgn0050291","lightyellow"
"FBgn0050295","darkgrey"
"FBgn0023509","pink"
"FBgn0030914","cyan"
"FBgn0036571","darkgrey"
"FBgn0261934","darkgreen"
"FBgn0261931","tan"
"FBgn0083940","darkgreen"
"FBgn0250851","blue"
"FBgn0030629","darkgrey"
"FBgn0039528","royalblue"
"FBgn0003285","darkgrey"
"FBgn0000414","darkgreen"
"FBgn0039109","cyan"
"FBgn0262124","pink"
"FBgn0011260","black"
"FBgn0015949","darkgreen"
"FBgn0031597","black"
"FBgn0030351","cyan"
"FBgn0036814","lightcyan"
"FBgn0036740","darkred"
"FBgn0033998","pink"
"FBgn0033339","darkgreen"
"FBgn0002909","darkgreen"
"FBgn0013810","pink"
"FBgn0010355","pink"
"FBgn0004889","pink"
"FBgn0033191","lightyellow"
"FBgn0039291","black"
"FBgn0037999","lightyellow"
"FBgn0003612","pink"
"FBgn0265169","cyan"
"FBgn0010909","royalblue"
"FBgn0266735","red"
"FBgn0264303","black"
"FBgn0033405","blue"
"FBgn0037358","cyan"
"FBgn0037609","black"
"FBgn0011747","darkgreen"
"FBgn0037468","pink"
"FBgn0040931","darkred"
"FBgn0014868","lightyellow"
"FBgn0015622","blue"
"FBgn0028541","black"
"FBgn0004698","pink"
"FBgn0032656","darkgreen"
"FBgn0260444","black"
"FBgn0034032","darkgreen"
"FBgn0063386","royalblue"
"FBgn0030536","turquoise"
"FBgn0034728","black"
"FBgn0030403","cyan"
"FBgn0034893","black"
"FBgn0034894","pink"
"FBgn0285952","cyan"
"FBgn0010379","lightcyan"
"FBgn0031459","darkred"
"FBgn0260941","red"
"FBgn0260945","darkgreen"
"FBgn0036760","cyan"
"FBgn0032000","cyan"
"FBgn0004860","darkgreen"
"FBgn0037019","darkturquoise"
"FBgn0051812","skyblue"
"FBgn0005198","darkgreen"
"FBgn0024294","turquoise"
"FBgn0038890","darkgreen"
"FBgn0035715","turquoise"
"FBgn0052016","darkgreen"
"FBgn0040022","darkgreen"
"FBgn0003093","red"
"FBgn0030674","darkgrey"
"FBgn0011769","cyan"
"FBgn0000326","cyan"
"FBgn0033272","darkred"
"FBgn0022153","pink"
"FBgn0015600","darkgrey"
"FBgn0034230","darkgreen"
"FBgn0000547","pink"
"FBgn0035203","greenyellow"
"FBgn0024291","darkgreen"
"FBgn0035944","turquoise"
"FBgn0028991","red"
"FBgn0033443","darkturquoise"
"FBgn0037703","darkgreen"
"FBgn0053558","darkgreen"
"FBgn0034029","black"
"FBgn0266418","red"
"FBgn0038678","red"
"FBgn0031377","pink"
"FBgn0038675","darkgrey"
"FBgn0265149","darkgreen"
"FBgn0040650","skyblue"
"FBgn0036942","cyan"
"FBgn0260965","darkgreen"
"FBgn0265998","darkgreen"
"FBgn0033480","greenyellow"
"FBgn0038872","royalblue"
"FBgn0035082","lightgreen"
"FBgn0035772","turquoise"
"FBgn0052783","darkgrey"
"FBgn0052441","blue"
"FBgn0260401","skyblue"
"FBgn0010620","darkgreen"
"FBgn0031256","cyan"
"FBgn0000228","darkgreen"
"FBgn0259178","darkgrey"
"FBgn0033252","darkgreen"
"FBgn0038020","brown"
"FBgn0002887","black"
"FBgn0036043","darkgreen"
"FBgn0034113","pink"
"FBgn0014391","darkred"
"FBgn0031820","lightcyan"
"FBgn0032348","royalblue"
"FBgn0039531","darkgrey"
"FBgn0039167","lightcyan"
"FBgn0028579","darkgreen"
"FBgn0267814","turquoise"
"FBgn0031061","darkgrey"
"FBgn0034674","royalblue"
"FBgn0030447","brown"
"FBgn0015477","lightcyan"
"FBgn0040850","cyan"
"FBgn0039697","turquoise"
"FBgn0030912","red"
"FBgn0000077","black"
"FBgn0000071","brown"
"FBgn0085443","royalblue"
"FBgn0085442","darkgreen"
"FBgn0033932","blue"
"FBgn0033935","black"
"FBgn0038583","salmon"
"FBgn0052767","pink"
"FBgn0010531","brown"
"FBgn0033972","brown"
"FBgn0032407","cyan"
"FBgn0042693","darkgrey"
"FBgn0030584","darkred"
"FBgn0000247","darkgreen"
"FBgn0259193","blue"
"FBgn0001404","steelblue"
"FBgn0039835","greenyellow"
"FBgn0030055","blue"
"FBgn0033236","pink"
"FBgn0034248","turquoise"
"FBgn0034240","darkgreen"
"FBgn0034245","darkred"
"FBgn0040336","darkturquoise"
"FBgn0032986","blue"
"FBgn0036512","lightyellow"
"FBgn0033312","darkgreen"
"FBgn0040064","cyan"
"FBgn0032363","lightcyan"
"FBgn0086659","red"
"FBgn0033609","darkgrey"
"FBgn0003205","tan"
"FBgn0259718","tan"
"FBgn0035323","lightyellow"
"FBgn0052260","blue"
"FBgn0031519","greenyellow"
"FBgn0036897","royalblue"
"FBgn0045800","darkgrey"
"FBgn0267762","turquoise"
"FBgn0026262","darkgreen"
"FBgn0000581","pink"
"FBgn0082922","cyan"
"FBgn0037218","darkgreen"
"FBgn0033915","darkgreen"
"FBgn0037602","darkred"
"FBgn0262115","lightcyan"
"FBgn0035515","cyan"
"FBgn0036300","cyan"
"FBgn0036305","darkgrey"
"FBgn0052230","cyan"
"FBgn0005640","royalblue"
"FBgn0264711","cyan"
"FBgn0032793","cyan"
"FBgn0262389","blue"
"FBgn0034405","cyan"
"FBgn0032429","tan"
"FBgn0086357","cyan"
"FBgn0031213","blue"
"FBgn0041188","darkgreen"
"FBgn0044323","darkgreen"
"FBgn0011016","cyan"
"FBgn0015808","cyan"
"FBgn0029878","darkgrey"
"FBgn0034269","pink"
"FBgn0037683","brown"
"FBgn0025741","lightcyan"
"FBgn0053094","blue"
"FBgn0030869","pink"
"FBgn0037873","cyan"
"FBgn0266813","cyan"
"FBgn0261845","darkgreen"
"FBgn0025186","pink"
"FBgn0031023","red"
"FBgn0026063","turquoise"
"FBgn0052264","darkgrey"
"FBgn0051510","darkgreen"
"FBgn0030435","turquoise"
"FBgn0031536","pink"
"FBgn0030773","blue"
"FBgn0030955","darkturquoise"
"FBgn0283438","red"
"FBgn0027558","tan"
"FBgn0050020","pink"
"FBgn0266159","cyan"
"FBgn0263289","blue"
"FBgn0011739","royalblue"
"FBgn0038816","darkgrey"
"FBgn0038811","greenyellow"
"FBgn0036323","darkturquoise"
"FBgn0021895","salmon"
"FBgn0000108","blue"
"FBgn0032445","greenyellow"
"FBgn0086372","darkgrey"
"FBgn0086371","greenyellow"
"FBgn0035793","blue"
"FBgn0259223","turquoise"
"FBgn0003016","royalblue"
"FBgn0039025","darkgreen"
"FBgn0039026","blue"
"FBgn0035065","lightyellow"
"FBgn0039790","darkgrey"
"FBgn0029890","cyan"
"FBgn0261610","darkgrey"
"FBgn0036911","darkgrey"
"FBgn0036203","turquoise"
"FBgn0027948","pink"
"FBgn0030759","lightyellow"
"FBgn0032612","turquoise"
"FBgn0035155","darkgrey"
"FBgn0263346","blue"
"FBgn0033639","darkgreen"
"FBgn0033636","darkgrey"
"FBgn0261823","darkgreen"
"FBgn0003716","steelblue"
"FBgn0037074","blue"
"FBgn0031106","black"
"FBgn0034071","blue"
"FBgn0037251","skyblue"
"FBgn0037252","pink"
"FBgn0030208","black"
"FBgn0266582","cyan"
"FBgn0027574","salmon"
"FBgn0038183","brown"
"FBgn0051390","black"
"FBgn0033401","darkturquoise"
"FBgn0033403","blue"
"FBgn0250820","brown"
"FBgn0036340","black"
"FBgn0031047","salmon"
"FBgn0051935","darkgreen"
"FBgn0039240","salmon"
"FBgn0032524","lightyellow"
"FBgn0264751","darkred"
"FBgn0035802","blue"
"FBgn0032465","lightyellow"
"FBgn0262699","darkgreen"
"FBgn0042185","pink"
"FBgn0022023","greenyellow"
"FBgn0038755","darkgrey"
"FBgn0030695","darkturquoise"
"FBgn0039831","salmon"
"FBgn0040359","salmon"
"FBgn0033989","tan"
"FBgn0037758","darkgrey"
"FBgn0265630","darkgrey"
"FBgn0037755","tan"
"FBgn0036593","cyan"
"FBgn0032876","pink"
"FBgn0032691","pink"
"FBgn0031426","turquoise"
"FBgn0003862","darkgreen"
"FBgn0263772","darkgrey"
"FBgn0259722","cyan"
"FBgn0259720","cyan"
"FBgn0034057","brown"
"FBgn0265757","red"
"FBgn0266657","lightgreen"
"FBgn0033428","brown"
"FBgn0036362","turquoise"
"FBgn0051915","darkgrey"
"FBgn0034626","royalblue"
"FBgn0023518","royalblue"
"FBgn0053182","royalblue"
