iis_qtl,fbgn_id,cg_id
Mipp2,FBgn0026060,CG4317
dsh,FBgn0000499,CG18361
Pi3K21B,FBgn0020622,CG2699
Lip4,FBgn0032264,CG6113
hppy,FBgn0263395,CG7097
step,FBgn0086779,CG11628
PRAS40,FBgn0267824,CG46146
Pi3K59F,FBgn0015277,CG5373
Ilp5,FBgn0044048,CG33273
slif,FBgn0037203,CG11128
REPTOR,FBgn0039209,CG13624
eIF-4B,FBgn0020660,CG10837
SREBP,FBgn0261283,CG8522
gig,FBgn0005198,CG6975
tribbles,FBgn0028978,CG5408
RagA-B,FBgn0037647,CG11968
Rheb,FBgn0041191,CG1081
Rel,FBgn0014018,CG11992
pum,FBgn0003165,CG9755
Ras85D,FBgn0003205,CG9375
mir-282,FBgn0262368,CR42880
Ide,FBgn0001247,CG5517
sty,FBgn0014388,CG1921
Strip,FBgn0035437,CG11526
PHGPx,FBgn0035438,CG12013